Date,SKU,Units_Sold,Revenue,Price,Promotion
2024-01-04,SKU015,4,24848.48,6212.12,0
2024-01-04,SKU016,9,19501.38,2166.82,0
2024-01-04,SKU017,14,118682.48,8477.32,0
2024-01-04,SKU018,20,111508.2,5575.41,0
2024-01-04,SKU019,14,67477.9,4819.85,0
2024-01-04,SKU020,16,62360.64,3897.54,0
2024-01-04,SKU021,7,53978.96,7711.28,0
2024-01-04,SKU022,13,59761.39,4597.03,0
2024-01-04,SKU023,14,19834.36,1416.74,0
2024-01-04,SKU024,12,21226.44,1768.87,0
2024-01-04,SKU025,1,11558.01,11558.01,0
2024-01-04,SKU026,31,339125.74,10939.54,0
2024-01-04,SKU027,34,289564.4,8516.6,0
2024-01-04,SKU028,3,10452.27,3484.09,0
2024-01-04,SKU029,13,151351.85,11642.45,0
2024-01-04,SKU030,6,56601.06,9433.51,0
2024-01-04,SKU031,17,148170.81,8715.93,0
2024-01-04,SKU032,10,56125.9,5612.59,0
2024-01-04,SKU033,19,67602.0,3558.0,0
2024-01-04,SKU034,10,15181.4,1518.14,0
2024-01-04,SKU035,14,152182.66,10870.19,0
2024-01-04,SKU036,7,39809.0,5687.0,0
2024-01-04,SKU037,23,63190.66,2747.42,0
2024-01-04,SKU038,5,19745.5,3949.1,0
2024-01-04,SKU039,7,49832.65,7118.95,0
2024-01-04,SKU040,18,44110.08,2450.56,0
2024-01-04,SKU041,11,113704.03,10336.73,0
2024-01-04,SKU042,21,193175.43,9198.83,0
2024-01-04,SKU043,19,166169.63,8745.77,0
2024-01-04,SKU044,8,43298.24,5412.28,0
2024-01-04,SKU045,21,161212.38,7676.78,0
2024-01-04,SKU046,7,50228.78,7175.54,0
2024-01-04,SKU047,10,79382.2,7938.22,0
2024-01-04,SKU048,9,12415.95,1379.55,0
2024-01-04,SKU049,22,114914.14,5223.37,0
2024-01-04,SKU050,9,7944.48,882.72,0
2024-01-05,SKU001,16,58624.8,3664.05,0
2024-01-05,SKU002,12,45668.28,3805.69,0
2024-01-05,SKU003,1,8078.23,8078.23,0
2024-01-05,SKU004,4,27446.28,6861.57,0
2024-01-05,SKU005,11,104425.42,9493.22,0
2024-01-05,SKU006,5,40530.2,8106.04,0
2024-01-05,SKU007,28,143194.52,5114.09,0
2024-01-05,SKU008,21,206695.44,9842.64,0
2024-01-05,SKU009,11,25705.79,2336.89,0
2024-01-05,SKU010,13,8624.98,663.46,0
2024-01-05,SKU011,1,1444.56,1444.56,0
2024-01-05,SKU012,27,237042.99,8779.37,0
2024-01-05,SKU013,17,97882.26,5757.78,0
2024-01-05,SKU014,17,38602.75,2270.75,0
2024-01-05,SKU015,5,31060.6,6212.12,0
2024-01-05,SKU016,9,19501.38,2166.82,0
2024-01-05,SKU017,6,50863.92,8477.32,0
2024-01-05,SKU018,28,156111.48,5575.41,0
2024-01-05,SKU019,17,81937.45,4819.85,0
2024-01-05,SKU020,9,35077.86,3897.54,0
2024-01-05,SKU021,11,84824.08,7711.28,0
2024-01-05,SKU022,6,27582.18,4597.03,0
2024-01-05,SKU023,10,14167.4,1416.74,0
2024-01-05,SKU024,8,14150.96,1768.87,0
2024-01-05,SKU025,5,57790.05,11558.01,0
2024-01-05,SKU026,17,185972.18,10939.54,0
2024-01-05,SKU027,19,161815.4,8516.6,0
2024-01-05,SKU028,4,13936.36,3484.09,0
2024-01-05,SKU029,15,174636.75,11642.45,0
2024-01-05,SKU030,6,56601.06,9433.51,0
2024-01-05,SKU031,15,130738.95,8715.93,0
2024-01-05,SKU032,2,11225.18,5612.59,0
2024-01-05,SKU033,19,67602.0,3558.0,0
2024-01-05,SKU034,25,37953.5,1518.14,0
2024-01-05,SKU035,19,206533.61,10870.19,0
2024-01-05,SKU036,2,11374.0,5687.0,0
2024-01-05,SKU037,18,49453.56,2747.42,0
2024-01-05,SKU038,4,15796.4,3949.1,0
2024-01-05,SKU039,2,14237.9,7118.95,0
2024-01-05,SKU040,13,31857.28,2450.56,0
2024-01-05,SKU041,9,93030.57,10336.73,0
2024-01-05,SKU042,23,211573.09,9198.83,0
2024-01-05,SKU043,14,122440.78,8745.77,0
2024-01-05,SKU044,9,48710.52,5412.28,0
2024-01-05,SKU045,25,191919.5,7676.78,0
2024-01-05,SKU046,9,64579.86,7175.54,0
2024-01-05,SKU047,10,79382.2,7938.22,0
2024-01-05,SKU048,12,16554.6,1379.55,0
2024-01-05,SKU049,26,135807.62,5223.37,0
2024-01-05,SKU050,4,3530.88,882.72,0
2024-01-06,SKU001,18,65952.9,3664.05,0
2024-01-06,SKU002,8,30445.52,3805.69,0
2024-01-06,SKU003,8,64625.84,8078.23,0
2024-01-06,SKU004,2,13723.14,6861.57,0
2024-01-06,SKU005,19,180371.18,9493.22,0
2024-01-06,SKU006,4,32424.16,8106.04,0
2024-01-06,SKU007,31,158536.79,5114.09,0
2024-01-06,SKU008,23,226380.72,9842.64,0
2024-01-06,SKU009,12,28042.68,2336.89,0
2024-01-06,SKU010,13,8624.98,663.46,0
2024-01-06,SKU011,5,7222.8,1444.56,0
2024-01-06,SKU012,29,254601.73,8779.37,0
2024-01-06,SKU013,13,74851.14,5757.78,0
2024-01-06,SKU014,28,63581.0,2270.75,0
2024-01-06,SKU015,6,37272.72,6212.12,0
2024-01-06,SKU016,12,26001.84,2166.82,0
2024-01-06,SKU017,21,178023.72,8477.32,0
2024-01-06,SKU018,27,150536.07,5575.41,0
2024-01-06,SKU019,20,96397.0,4819.85,0
2024-01-06,SKU020,17,66258.18,3897.54,0
2024-01-06,SKU021,6,46267.68,7711.28,0
2024-01-06,SKU022,9,41373.27,4597.03,0
2024-01-06,SKU023,25,35418.5,1416.74,0
2024-01-06,SKU024,19,33608.53,1768.87,0
2024-01-06,SKU025,2,23116.02,11558.01,0
2024-01-06,SKU026,36,393823.44,10939.54,0
2024-01-06,SKU027,29,246981.4,8516.6,0
2024-01-06,SKU028,5,17420.45,3484.09,0
2024-01-06,SKU029,22,256133.9,11642.45,0
2024-01-06,SKU030,5,47167.55,9433.51,0
2024-01-06,SKU031,33,287625.69,8715.93,0
2024-01-06,SKU032,13,72963.67,5612.59,0
2024-01-06,SKU033,23,81834.0,3558.0,0
2024-01-06,SKU034,21,31880.94,1518.14,0
2024-01-06,SKU035,21,228273.99,10870.19,0
2024-01-06,SKU036,2,11374.0,5687.0,0
2024-01-06,SKU037,26,71432.92,2747.42,0
2024-01-06,SKU038,5,19745.5,3949.1,0
2024-01-06,SKU039,4,28475.8,7118.95,0
2024-01-06,SKU040,12,29406.72,2450.56,0
2024-01-06,SKU041,9,93030.57,10336.73,0
2024-01-06,SKU042,32,294362.56,9198.83,0
2024-01-06,SKU043,25,218644.25,8745.77,0
2024-01-06,SKU044,14,75771.92,5412.28,0
2024-01-06,SKU045,25,191919.5,7676.78,0
2024-01-06,SKU046,11,78930.94,7175.54,0
2024-01-06,SKU047,19,150826.18,7938.22,0
2024-01-06,SKU048,10,13795.5,1379.55,0
2024-01-06,SKU049,17,88797.29,5223.37,0
2024-01-06,SKU050,7,6179.04,882.72,0
2024-01-07,SKU001,19,69616.95,3664.05,0
2024-01-07,SKU002,12,45668.28,3805.69,0
2024-01-07,SKU003,10,80782.3,8078.23,0
2024-01-07,SKU004,3,20584.71,6861.57,0
2024-01-07,SKU005,19,180371.18,9493.22,0
2024-01-07,SKU006,5,40530.2,8106.04,0
2024-01-07,SKU007,23,117624.07,5114.09,0
2024-01-07,SKU008,20,196852.8,9842.64,0
2024-01-07,SKU009,10,23368.9,2336.89,0
2024-01-07,SKU010,13,8624.98,663.46,0
2024-01-07,SKU011,1,1444.56,1444.56,0
2024-01-07,SKU012,28,245822.36,8779.37,0
2024-01-07,SKU013,8,46062.24,5757.78,0
2024-01-07,SKU014,27,61310.25,2270.75,0
2024-01-07,SKU015,5,31060.6,6212.12,0
2024-01-07,SKU016,15,32502.3,2166.82,0
2024-01-07,SKU017,12,101727.84,8477.32,0
2024-01-07,SKU018,24,133809.84,5575.41,0
2024-01-07,SKU019,12,57838.2,4819.85,0
2024-01-07,SKU020,12,46770.48,3897.54,0
2024-01-07,SKU021,13,100246.64,7711.28,0
2024-01-07,SKU022,11,50567.33,4597.03,0
2024-01-07,SKU023,15,21251.1,1416.74,0
2024-01-07,SKU024,14,24764.18,1768.87,0
2024-01-07,SKU025,1,11558.01,11558.01,0
2024-01-07,SKU026,31,339125.74,10939.54,0
2024-01-07,SKU027,24,204398.4,8516.6,0
2024-01-07,SKU028,6,20904.54,3484.09,0
2024-01-07,SKU029,16,186279.2,11642.45,0
2024-01-07,SKU030,4,37734.04,9433.51,0
2024-01-07,SKU031,27,235330.11,8715.93,0
2024-01-07,SKU032,13,72963.67,5612.59,0
2024-01-07,SKU033,15,53370.0,3558.0,0
2024-01-07,SKU034,26,39471.64,1518.14,0
2024-01-07,SKU035,21,228273.99,10870.19,0
2024-01-07,SKU036,3,17061.0,5687.0,0
2024-01-07,SKU037,26,71432.92,2747.42,0
2024-01-07,SKU038,11,43440.1,3949.1,0
2024-01-07,SKU039,2,14237.9,7118.95,0
2024-01-07,SKU040,21,51461.76,2450.56,0
2024-01-07,SKU041,10,103367.3,10336.73,0
2024-01-07,SKU042,23,211573.09,9198.83,0
2024-01-07,SKU043,29,253627.33,8745.77,0
2024-01-07,SKU044,12,64947.36,5412.28,0
2024-01-07,SKU045,23,176565.94,7676.78,0
2024-01-07,SKU046,12,86106.48,7175.54,0
2024-01-07,SKU047,21,166702.62,7938.22,0
2024-01-07,SKU048,12,16554.6,1379.55,0
2024-01-07,SKU049,31,161924.47,5223.37,0
2024-01-07,SKU050,11,9709.92,882.72,0
2024-01-08,SKU001,12,43968.6,3664.05,0
2024-01-08,SKU002,11,41862.59,3805.69,0
2024-01-08,SKU003,4,32312.92,8078.23,0
2024-01-08,SKU004,2,13723.14,6861.57,0
2024-01-08,SKU005,12,113918.64,9493.22,0
2024-01-08,SKU006,3,24318.12,8106.04,0
2024-01-08,SKU007,35,178993.15,5114.09,0
2024-01-08,SKU008,17,167324.88,9842.64,0
2024-01-08,SKU009,14,32716.46,2336.89,0
2024-01-08,SKU010,12,7961.52,663.46,0
2024-01-08,SKU011,1,1444.56,1444.56,0
2024-01-08,SKU012,18,158028.66,8779.37,0
2024-01-08,SKU013,14,80608.92,5757.78,0
2024-01-08,SKU014,22,49956.5,2270.75,0
2024-01-08,SKU015,4,24848.48,6212.12,0
2024-01-08,SKU016,17,36835.94,2166.82,0
2024-01-08,SKU017,9,76295.88,8477.32,0
2024-01-08,SKU018,29,161686.89,5575.41,0
2024-01-08,SKU019,17,81937.45,4819.85,0
2024-01-08,SKU020,7,27282.78,3897.54,0
2024-01-08,SKU021,10,77112.8,7711.28,0
2024-01-08,SKU022,7,32179.21,4597.03,0
2024-01-08,SKU023,11,15584.14,1416.74,0
2024-01-08,SKU024,15,26533.05,1768.87,0
2024-01-08,SKU025,4,46232.04,11558.01,0
2024-01-08,SKU026,21,229730.34,10939.54,0
2024-01-08,SKU027,24,204398.4,8516.6,0
2024-01-08,SKU028,5,17420.45,3484.09,0
2024-01-08,SKU029,25,291061.25,11642.45,0
2024-01-08,SKU030,2,18867.02,9433.51,0
2024-01-08,SKU031,21,183034.53,8715.93,0
2024-01-08,SKU032,6,33675.54,5612.59,0
2024-01-08,SKU033,19,67602.0,3558.0,0
2024-01-08,SKU034,22,33399.08,1518.14,0
2024-01-08,SKU035,27,293495.13,10870.19,0
2024-01-08,SKU036,5,28435.0,5687.0,0
2024-01-08,SKU037,19,52200.98,2747.42,0
2024-01-08,SKU038,15,59236.5,3949.1,0
2024-01-08,SKU039,3,21356.85,7118.95,0
2024-01-08,SKU040,16,39208.96,2450.56,0
2024-01-08,SKU041,13,134377.49,10336.73,0
2024-01-08,SKU042,19,174777.77,9198.83,0
2024-01-08,SKU043,16,139932.32,8745.77,0
2024-01-08,SKU044,6,32473.68,5412.28,0
2024-01-08,SKU045,26,199596.28,7676.78,0
2024-01-08,SKU046,3,21526.62,7175.54,0
2024-01-08,SKU047,18,142887.96,7938.22,0
2024-01-08,SKU048,6,8277.3,1379.55,0
2024-01-08,SKU049,24,125360.88,5223.37,0
2024-01-08,SKU050,8,7061.76,882.72,0
2024-01-09,SKU001,10,36640.5,3664.05,0
2024-01-09,SKU002,9,34251.21,3805.69,0
2024-01-09,SKU003,3,24234.69,8078.23,0
2024-01-09,SKU004,3,20584.71,6861.57,0
2024-01-09,SKU005,12,113918.64,9493.22,0
2024-01-09,SKU006,3,24318.12,8106.04,0
2024-01-09,SKU007,24,122738.16,5114.09,0
2024-01-09,SKU008,20,196852.8,9842.64,0
2024-01-09,SKU009,12,28042.68,2336.89,0
2024-01-09,SKU010,14,9288.44,663.46,0
2024-01-09,SKU011,3,4333.68,1444.56,0
2024-01-09,SKU012,22,193146.14,8779.37,0
2024-01-09,SKU013,10,57577.8,5757.78,0
2024-01-09,SKU014,28,63581.0,2270.75,0
2024-01-09,SKU015,3,18636.36,6212.12,0
2024-01-09,SKU016,15,32502.3,2166.82,0
2024-01-09,SKU017,7,59341.24,8477.32,0
2024-01-09,SKU018,27,150536.07,5575.41,0
2024-01-09,SKU019,13,62658.05,4819.85,0
2024-01-09,SKU020,13,50668.02,3897.54,0
2024-01-09,SKU021,8,61690.24,7711.28,0
2024-01-09,SKU022,6,27582.18,4597.03,0
2024-01-09,SKU023,12,17000.88,1416.74,0
2024-01-09,SKU024,7,12382.09,1768.87,0
2024-01-09,SKU025,2,23116.02,11558.01,0
2024-01-09,SKU026,26,284428.04,10939.54,0
2024-01-09,SKU027,23,195881.8,8516.6,0
2024-01-09,SKU028,2,6968.18,3484.09,0
2024-01-09,SKU029,14,162994.3,11642.45,0
2024-01-09,SKU030,3,28300.53,9433.51,0
2024-01-09,SKU031,21,183034.53,8715.93,0
2024-01-09,SKU032,10,56125.9,5612.59,0
2024-01-09,SKU033,17,60486.0,3558.0,0
2024-01-09,SKU034,16,24290.24,1518.14,0
2024-01-09,SKU035,14,152182.66,10870.19,0
2024-01-09,SKU036,4,22748.0,5687.0,0
2024-01-09,SKU037,32,87917.44,2747.42,0
2024-01-09,SKU038,10,39491.0,3949.1,0
2024-01-09,SKU039,1,7118.95,7118.95,0
2024-01-09,SKU040,13,31857.28,2450.56,0
2024-01-09,SKU041,12,124040.76,10336.73,0
2024-01-09,SKU042,23,211573.09,9198.83,0
2024-01-09,SKU043,19,166169.63,8745.77,0
2024-01-09,SKU044,9,48710.52,5412.28,0
2024-01-09,SKU045,17,130505.26,7676.78,0
2024-01-09,SKU046,12,86106.48,7175.54,0
2024-01-09,SKU047,15,119073.3,7938.22,0
2024-01-09,SKU048,4,5518.2,1379.55,0
2024-01-09,SKU049,20,104467.4,5223.37,0
2024-01-09,SKU050,4,3530.88,882.72,0
2024-01-10,SKU001,11,40304.55,3664.05,0
2024-01-10,SKU002,12,45668.28,3805.69,0
2024-01-10,SKU003,7,56547.61,8078.23,0
2024-01-10,SKU004,4,27446.28,6861.57,0
2024-01-10,SKU005,20,189864.4,9493.22,0
2024-01-10,SKU006,3,24318.12,8106.04,0
2024-01-10,SKU007,20,102281.8,5114.09,0
2024-01-10,SKU008,14,137796.96,9842.64,0
2024-01-10,SKU009,10,23368.9,2336.89,0
2024-01-10,SKU010,14,9288.44,663.46,0
2024-01-10,SKU011,5,7222.8,1444.56,0
2024-01-10,SKU012,24,210704.88,8779.37,0
2024-01-10,SKU013,17,97882.26,5757.78,0
2024-01-10,SKU014,17,38602.75,2270.75,0
2024-01-10,SKU015,3,18636.36,6212.12,0
2024-01-10,SKU016,14,30335.48,2166.82,0
2024-01-10,SKU017,6,50863.92,8477.32,0
2024-01-10,SKU018,20,111508.2,5575.41,0
2024-01-10,SKU019,21,101216.85,4819.85,0
2024-01-10,SKU020,11,42872.94,3897.54,0
2024-01-10,SKU021,9,69401.52,7711.28,0
2024-01-10,SKU022,10,45970.3,4597.03,0
2024-01-10,SKU023,7,9917.18,1416.74,0
2024-01-10,SKU024,14,24764.18,1768.87,0
2024-01-10,SKU025,1,11558.01,11558.01,0
2024-01-10,SKU026,31,339125.74,10939.54,0
2024-01-10,SKU027,29,246981.4,8516.6,0
2024-01-10,SKU028,4,13936.36,3484.09,0
2024-01-10,SKU029,13,151351.85,11642.45,0
2024-01-10,SKU030,4,37734.04,9433.51,0
2024-01-10,SKU031,15,130738.95,8715.93,0
2024-01-10,SKU032,12,67351.08,5612.59,0
2024-01-10,SKU033,18,64044.0,3558.0,0
2024-01-10,SKU034,22,33399.08,1518.14,0
2024-01-10,SKU035,21,228273.99,10870.19,0
2024-01-10,SKU036,4,22748.0,5687.0,0
2024-01-10,SKU037,19,52200.98,2747.42,0
2024-01-10,SKU038,6,23694.6,3949.1,0
2024-01-10,SKU039,3,21356.85,7118.95,0
2024-01-10,SKU040,16,39208.96,2450.56,0
2024-01-10,SKU041,8,82693.84,10336.73,0
2024-01-10,SKU042,24,220771.92,9198.83,0
2024-01-10,SKU043,30,262373.1,8745.77,0
2024-01-10,SKU044,11,59535.08,5412.28,0
2024-01-10,SKU045,22,168889.16,7676.78,0
2024-01-10,SKU046,5,35877.7,7175.54,0
2024-01-10,SKU047,13,103196.86,7938.22,0
2024-01-10,SKU048,9,12415.95,1379.55,0
2024-01-10,SKU049,22,114914.14,5223.37,0
2024-01-10,SKU050,4,3530.88,882.72,0
2024-01-11,SKU001,11,40304.55,3664.05,0
2024-01-11,SKU002,5,19028.45,3805.69,0
2024-01-11,SKU003,8,64625.84,8078.23,0
2024-01-11,SKU004,4,27446.28,6861.57,0
2024-01-11,SKU005,18,170877.96,9493.22,0
2024-01-11,SKU006,6,48636.24,8106.04,0
2024-01-11,SKU007,21,107395.89,5114.09,0
2024-01-11,SKU008,21,206695.44,9842.64,0
2024-01-11,SKU009,5,11684.45,2336.89,0
2024-01-11,SKU010,19,12605.74,663.46,0
2024-01-11,SKU011,3,4333.68,1444.56,0
2024-01-11,SKU012,20,175587.4,8779.37,0
2024-01-11,SKU013,8,46062.24,5757.78,0
2024-01-11,SKU014,21,47685.75,2270.75,0
2024-01-11,SKU015,6,37272.72,6212.12,0
2024-01-11,SKU016,20,43336.4,2166.82,0
2024-01-11,SKU017,14,118682.48,8477.32,0
2024-01-11,SKU018,16,89206.56,5575.41,0
2024-01-11,SKU019,15,72297.75,4819.85,0
2024-01-11,SKU020,20,77950.8,3897.54,0
2024-01-11,SKU021,7,53978.96,7711.28,0
2024-01-11,SKU022,15,68955.45,4597.03,0
2024-01-11,SKU023,15,21251.1,1416.74,0
2024-01-11,SKU024,11,19457.57,1768.87,0
2024-01-11,SKU025,6,69348.06,11558.01,0
2024-01-11,SKU026,22,240669.88,10939.54,0
2024-01-11,SKU027,19,161815.4,8516.6,0
2024-01-11,SKU028,5,17420.45,3484.09,0
2024-01-11,SKU029,19,221206.55,11642.45,0
2024-01-11,SKU030,6,56601.06,9433.51,0
2024-01-11,SKU031,8,69727.44,8715.93,0
2024-01-11,SKU032,8,44900.72,5612.59,0
2024-01-11,SKU033,11,39138.0,3558.0,0
2024-01-11,SKU034,29,44026.06,1518.14,0
2024-01-11,SKU035,26,282624.94,10870.19,0
2024-01-11,SKU036,4,22748.0,5687.0,0
2024-01-11,SKU037,28,76927.76,2747.42,0
