Snapshot_Date,SKU,Current_Stock,On_Order,Lead_Time_Days,Safety_Stock,Reorder_Point,Inventory_Value
2024-01-01,SKU047,23,11,4,7,11,140956.19
2024-01-01,SKU048,15,10,8,5,13,53980.8
2024-01-01,SKU049,11,1,11,5,16,58149.41
2024-01-01,SKU050,19,18,11,6,17,65977.69
2024-01-01,SKU051,11,4,3,5,10,30870.62
2024-01-01,SKU052,15,19,4,5,10,15770.55
2024-01-01,SKU053,12,1,11,5,16,89036.16
2024-01-01,SKU054,32,11,7,5,12,94023.68
2024-01-01,SKU055,30,8,4,6,10,230364.9
2024-01-01,SKU056,13,16,8,5,13,82110.6
2024-01-01,SKU057,21,32,11,7,18,85112.58
2024-01-01,SKU058,34,13,13,6,19,159150.26
2024-01-01,SKU059,28,14,7,6,13,78950.48
2024-01-01,SKU060,14,19,6,7,13,51121.84
2024-01-01,SKU061,27,3,12,7,19,194271.75
2024-01-01,SKU062,25,30,14,5,19,113594.5
2024-01-01,SKU063,6,15,3,6,10,14577.36
2024-01-01,SKU064,30,7,8,7,15,176526.3
2024-01-01,SKU065,6,16,9,6,15,44094.54
2024-01-01,SKU066,6,10,14,5,19,3239.7
2024-01-01,SKU067,26,1,13,5,18,173702.62
2024-01-01,SKU068,28,28,10,5,15,75819.24
2024-01-01,SKU069,31,15,8,7,15,131492.39
2024-01-01,SKU070,6,13,10,6,16,45026.04
2024-01-01,SKU071,28,28,13,5,18,101416.0
2024-01-01,SKU072,16,6,11,5,16,114568.0
2024-01-01,SKU073,34,14,5,5,10,243923.14
2024-01-01,SKU074,23,17,11,7,18,62064.35
2024-01-01,SKU075,28,24,11,5,16,88083.8
2024-01-01,SKU076,5,15,5,6,11,30188.1
2024-01-01,SKU077,14,13,9,5,14,29645.28
2024-01-01,SKU078,23,19,5,5,10,153895.76
2024-01-01,SKU079,25,9,11,5,16,122380.5
2024-01-01,SKU080,13,13,8,5,13,23040.81
2024-01-01,SKU081,22,5,3,5,10,171196.3
2024-01-01,SKU082,7,4,5,5,10,9556.47
2024-01-01,SKU083,33,17,5,5,10,41963.46
2024-01-01,SKU084,32,17,6,5,11,38214.4
2024-01-01,SKU085,34,9,11,5,16,161624.1
2024-01-01,SKU086,10,7,13,7,20,64819.7
2024-01-01,SKU087,8,5,9,5,14,10125.6
2024-01-01,SKU088,22,18,10,5,15,163649.42
2024-01-01,SKU089,19,17,13,6,19,76694.07
2024-01-01,SKU090,31,2,6,5,11,237338.48
2024-01-01,SKU091,18,4,12,5,17,7967.88
2024-01-01,SKU092,13,4,3,5,10,67123.03
2024-01-01,SKU093,8,7,14,6,20,27985.12
2024-01-01,SKU094,10,19,14,5,19,48693.3
2024-01-01,SKU095,19,20,6,5,11,73571.99
2024-01-01,SKU096,23,6,13,7,20,8929.52
2024-01-01,SKU097,31,16,12,6,18,199185.23
2024-01-01,SKU098,6,19,8,6,14,26180.76
2024-01-01,SKU099,9,4,5,5,10,44316.72
2024-01-01,SKU100,10,2,12,5,17,31499.3
2024-01-01,SKU101,28,14,9,5,14,195245.4
2024-01-01,SKU102,10,4,5,5,10,21707.6
2024-01-01,SKU103,29,21,12,6,18,190773.89
2024-01-01,SKU104,30,5,5,5,10,22974.9
2024-01-01,SKU105,18,0,3,6,10,119540.7
2024-01-01,SKU106,6,20,10,7,17,8190.06
2024-01-01,SKU107,28,3,14,6,20,68784.24
2024-01-01,SKU108,19,17,3,5,10,21755.95
2024-01-01,SKU109,20,5,3,7,10,32069.4
2024-01-01,SKU110,34,17,9,6,15,164266.24
2024-01-01,SKU111,26,9,3,7,10,70575.18
2024-01-01,SKU112,24,1,9,5,14,168750.96
2024-01-01,SKU113,25,2,4,5,10,41415.25
2024-01-01,SKU114,17,19,8,6,14,37106.75
2024-01-01,SKU115,6,7,9,6,15,3790.32
2024-01-01,SKU116,23,16,3,5,10,99109.07
2024-01-01,SKU117,12,8,7,5,12,7832.4
2024-01-01,SKU118,29,25,13,5,18,29525.77
2024-01-01,SKU119,10,27,13,5,18,78416.7
2024-01-01,SKU120,9,21,14,5,19,56618.55
2024-01-01,SKU121,10,16,9,6,15,12927.8
2024-01-01,SKU122,18,7,13,5,18,76234.14
2024-01-01,SKU123,33,25,9,6,15,106736.52
2024-01-01,SKU124,18,3,6,7,13,41671.62
2024-01-01,SKU125,28,4,3,5,10,97464.92
2024-01-01,SKU126,24,11,8,6,14,74357.28
2024-01-01,SKU127,26,21,7,5,12,82962.1
2024-01-01,SKU128,15,10,4,5,10,38261.85
2024-01-01,SKU129,17,20,6,6,12,67610.02
2024-01-01,SKU130,27,0,12,6,18,118789.74
2024-01-01,SKU131,29,5,9,5,14,188037.16
2024-01-01,SKU132,5,1,8,5,13,25775.55
2024-01-01,SKU133,29,7,7,6,13,52740.56
2024-01-01,SKU134,21,10,7,7,14,145331.97
2024-01-01,SKU135,11,5,8,5,13,10856.89
2024-01-01,SKU136,34,15,3,5,10,30763.88
2024-01-01,SKU137,16,7,6,5,11,122901.12
2024-01-01,SKU138,23,0,11,5,16,111573.92
2024-01-01,SKU139,28,12,13,6,19,212287.88
2024-01-01,SKU140,28,30,14,5,19,135046.52
2024-01-01,SKU141,8,9,5,5,10,12620.08
2024-01-01,SKU142,15,1,7,5,12,70295.1
2024-01-01,SKU143,29,21,13,6,19,178941.89
2024-01-01,SKU144,24,12,12,5,17,97540.56
2024-01-01,SKU145,21,4,12,5,17,24736.74
2024-01-01,SKU146,30,20,7,6,13,27892.2
2024-01-01,SKU147,20,15,9,5,14,125019.8
2024-01-01,SKU148,21,13,6,5,11,59549.49
2024-01-01,SKU149,9,13,9,5,14,21119.85
2024-01-01,SKU150,8,19,5,5,10,21495.28
2024-01-01,SKU151,23,22,9,5,14,172614.77
2024-01-01,SKU152,27,16,14,6,20,86959.71
2024-01-01,SKU153,25,25,10,5,15,187627.0
2024-01-01,SKU154,6,7,7,7,14,23790.66
2024-01-01,SKU155,16,5,7,5,12,93002.24
2024-01-01,SKU156,13,3,10,5,15,15186.73
2024-01-01,SKU157,34,15,9,5,14,40626.26
2024-01-01,SKU158,28,29,13,5,18,155883.0
2024-01-01,SKU159,6,17,3,7,10,39881.1
2024-01-01,SKU160,20,16,7,5,12,76075.0
2024-01-01,SKU161,19,7,7,5,12,139990.48
2024-01-01,SKU162,26,19,3,5,10,28783.56
2024-01-01,SKU163,25,30,11,5,16,61257.25
2024-01-01,SKU164,16,5,12,6,18,17196.0
2024-01-01,SKU165,27,23,10,5,15,142788.69
2024-01-01,SKU166,31,8,13,5,18,223262.31
2024-01-01,SKU167,8,6,9,5,14,10867.36
2024-01-01,SKU168,21,13,7,5,12,37507.68
2024-01-01,SKU169,5,14,9,5,14,2651.3
2024-01-01,SKU170,32,18,4,6,10,20811.2
2024-01-01,SKU171,31,8,14,5,19,65062.18
2024-01-01,SKU172,12,18,3,5,10,8322.6
2024-01-01,SKU173,27,19,13,5,18,168313.68
2024-01-01,SKU174,26,4,6,5,11,175353.1
2024-01-01,SKU175,7,21,7,6,13,8527.12
2024-01-01,SKU176,32,5,6,5,11,192806.72
2024-01-01,SKU177,18,10,7,7,14,26152.2
2024-01-01,SKU178,14,31,13,5,18,24444.98
2024-01-01,SKU179,20,14,13,7,20,156931.8
2024-01-01,SKU180,14,16,13,5,18,9413.32
2024-01-01,SKU181,16,1,4,6,10,113634.08
2024-01-01,SKU182,25,0,10,5,15,39793.5
2024-01-01,SKU183,30,31,13,6,19,235356.3
2024-01-01,SKU184,9,14,5,7,12,56939.67
2024-01-01,SKU185,11,19,3,6,10,15122.36
2024-01-01,SKU186,8,10,9,5,14,20683.28
2024-01-01,SKU187,12,18,6,5,11,63378.72
2024-01-01,SKU188,30,1,4,5,10,42012.0
2024-01-01,SKU189,21,18,5,6,11,82421.01
2024-01-01,SKU190,34,21,9,6,15,43833.82
2024-01-01,SKU191,21,14,4,5,10,74891.25
2024-01-01,SKU192,19,17,5,7,12,98199.22
2024-01-01,SKU193,25,7,9,5,14,48415.5
2024-01-01,SKU194,14,18,12,6,18,37898.98
2024-01-01,SKU195,23,11,3,5,10,90264.19
2024-01-01,SKU196,11,23,8,6,14,51552.05
2024-01-01,SKU197,22,2,7,6,13,115975.2
2024-01-01,SKU198,19,0,3,7,10,51312.54
2024-01-01,SKU199,22,2,11,7,18,79056.78
2024-01-01,SKU200,28,19,5,7,12,85262.52
2024-02-01,SKU001,918,496,3,246,346,3351902.58
2024-02-01,SKU002,277,465,4,154,234,1566324.2
2024-02-01,SKU003,309,257,11,39,177,1899988.47
2024-02-01,SKU004,168,422,5,141,236,208803.84
2024-02-01,SKU005,401,292,10,161,373,2980404.43
2024-02-01,SKU006,464,145,9,63,212,3074649.6
2024-02-01,SKU007,282,685,13,143,390,1282544.46
2024-02-01,SKU008,186,157,10,128,376,1239530.04
2024-02-01,SKU009,94,252,14,72,218,281772.52
2024-02-01,SKU010,100,131,13,24,69,717169.0
2024-02-01,SKU011,596,324,13,139,466,2304785.64
2024-02-01,SKU012,67,83,13,13,56,96864.58
2024-02-01,SKU013,269,157,10,25,104,2084265.8
2024-02-01,SKU014,383,1,8,98,241,1195365.98
2024-02-01,SKU015,607,325,10,120,297,762932.23
2024-02-01,SKU016,299,121,11,66,173,600556.45
2024-02-01,SKU017,218,315,7,85,175,1461310.68
2024-02-01,SKU018,645,236,5,130,222,1722691.8
2024-02-01,SKU019,163,199,11,25,111,530232.48
2024-02-01,SKU020,643,650,7,204,468,3561795.62
2024-02-01,SKU021,194,11,13,46,137,59569.64
2024-02-01,SKU022,394,205,14,45,218,2128620.46
2024-02-01,SKU023,46,153,14,61,183,175103.6
2024-02-01,SKU024,165,251,7,67,172,220015.95
2024-02-01,SKU025,532,517,8,211,489,2075332.0
2024-02-01,SKU026,146,65,11,31,101,902096.04
2024-02-01,SKU027,568,306,7,69,198,2603632.48
2024-02-01,SKU028,711,290,8,104,272,347565.24
2024-02-01,SKU029,429,569,5,190,333,1465506.9
2024-02-01,SKU030,68,61,9,52,115,140286.04
2024-02-01,SKU031,68,81,12,33,100,171723.8
2024-02-01,SKU032,272,122,5,64,122,1242224.0
2024-02-01,SKU033,266,80,9,43,150,904267.0
2024-02-01,SKU034,37,67,11,23,81,57129.48
2024-02-01,SKU035,552,394,13,169,460,3228250.56
2024-02-01,SKU036,223,124,14,130,414,334468.78
2024-02-01,SKU037,870,906,7,352,674,4912437.6
2024-02-01,SKU038,301,57,7,75,153,964075.91
2024-02-01,SKU039,24,111,5,33,56,73297.2
2024-02-01,SKU040,67,68,3,36,55,78024.85
2024-02-01,SKU041,301,16,6,71,170,1707491.73
2024-02-01,SKU042,70,86,4,37,67,543278.4
2024-02-01,SKU043,114,410,5,97,208,425510.7
2024-02-01,SKU044,257,185,14,27,136,256236.71
2024-02-01,SKU045,491,158,7,50,157,892795.12
2024-02-01,SKU046,89,167,12,82,234,421766.55
2024-02-01,SKU047,59,135,9,32,94,361583.27
2024-02-01,SKU048,134,20,6,24,47,482228.48
2024-02-01,SKU049,730,566,5,167,327,3859006.3
2024-02-01,SKU050,312,154,5,114,205,1083423.12
2024-02-01,SKU051,51,42,10,19,64,143127.42
2024-02-01,SKU052,178,8,9,34,81,187143.86
2024-02-01,SKU053,1332,238,11,149,626,9883013.76
2024-02-01,SKU054,257,229,13,58,154,755127.68
2024-02-01,SKU055,440,139,5,50,132,3378685.2
2024-02-01,SKU056,29,17,3,9,17,183169.8
2024-02-01,SKU057,198,22,12,79,203,802490.04
2024-02-01,SKU058,414,698,11,156,411,1937888.46
2024-02-01,SKU059,14,46,4,15,24,39475.24
2024-02-01,SKU060,285,92,6,48,100,1040694.6
2024-02-01,SKU061,148,236,14,46,165,1064897.0
2024-02-01,SKU062,493,258,9,148,319,2240083.54
2024-02-01,SKU063,524,412,8,87,235,1273089.44
2024-02-01,SKU064,127,424,5,124,225,747294.67
2024-02-01,SKU065,295,83,5,111,190,2167981.55
2024-02-01,SKU066,345,338,14,123,392,186282.75
2024-02-01,SKU067,47,26,4,26,39,314000.89
2024-02-01,SKU068,233,310,11,106,280,630924.39
2024-02-01,SKU069,557,922,13,253,696,2362621.33
2024-02-01,SKU070,197,110,7,50,141,1478354.98
2024-02-01,SKU071,234,167,3,58,84,847548.0
2024-02-01,SKU072,79,40,12,45,155,565679.5
2024-02-01,SKU073,1084,187,6,239,431,7776843.64
2024-02-01,SKU074,15,12,11,6,15,40476.75
2024-02-01,SKU075,1600,375,6,279,624,5033360.0
2024-02-01,SKU076,60,68,14,8,37,362257.2
2024-02-01,SKU077,169,40,13,88,233,357860.88
2024-02-01,SKU078,137,39,3,30,47,916683.44
2024-02-01,SKU079,614,578,14,91,366,3005665.08
2024-02-01,SKU080,527,665,13,88,362,934038.99
2024-02-01,SKU081,336,112,3,104,153,2614634.4
2024-02-01,SKU082,365,85,8,72,165,498301.65
2024-02-01,SKU083,21,15,8,20,47,26704.02
2024-02-01,SKU084,177,8,8,35,111,211373.4
2024-02-01,SKU085,138,301,9,73,184,656003.7
2024-02-01,SKU086,178,60,7,33,71,1153790.66
2024-02-01,SKU087,132,241,14,57,289,167072.4
2024-02-01,SKU088,173,20,14,74,307,1286879.53
2024-02-01,SKU089,329,134,8,64,151,1328018.37
2024-02-01,SKU090,295,296,12,68,230,2258543.6
2024-02-01,SKU091,334,198,10,74,185,147848.44
2024-02-01,SKU092,94,1,10,15,43,485351.14
2024-02-01,SKU093,251,438,6,106,220,878033.14
2024-02-01,SKU094,17,10,5,5,10,82778.61
2024-02-01,SKU095,367,288,12,53,240,1421101.07
2024-02-01,SKU096,93,28,3,29,42,36106.32
2024-02-01,SKU097,561,74,3,84,140,3604610.13
2024-02-01,SKU098,452,230,12,137,347,1972283.92
2024-02-01,SKU099,341,245,6,98,210,1679111.28
2024-02-01,SKU100,138,229,7,90,256,434690.34
2024-02-01,SKU101,543,801,11,218,564,3786366.15
2024-02-01,SKU102,81,328,13,48,166,175831.56
2024-02-01,SKU103,472,234,8,114,296,3105009.52
2024-02-01,SKU104,65,177,13,51,164,49778.95
2024-02-01,SKU105,491,32,11,67,259,3260804.65
2024-02-01,SKU106,718,367,10,124,372,980077.18
2024-02-01,SKU107,140,31,9,22,85,343921.2
2024-02-01,SKU108,21,27,11,7,20,24046.05
2024-02-01,SKU109,147,53,8,21,72,235710.09
2024-02-01,SKU110,932,406,10,187,466,4502827.52
2024-02-01,SKU111,190,3,8,16,59,515741.7
2024-02-01,SKU112,903,98,6,95,255,6349254.87
2024-02-01,SKU113,225,42,7,33,78,372737.25
2024-02-01,SKU114,383,191,3,63,97,835993.25
2024-02-01,SKU115,306,142,7,100,198,193306.32
2024-02-01,SKU116,134,60,6,16,47,577418.06
2024-02-01,SKU117,349,82,3,78,112,227792.3
2024-02-01,SKU118,37,90,14,20,63,37670.81
2024-02-01,SKU119,268,50,4,32,69,2101567.56
2024-02-01,SKU120,71,172,12,42,179,446657.45
2024-02-01,SKU121,20,9,6,6,11,25855.6
2024-02-01,SKU122,42,25,13,35,106,177879.66
2024-02-01,SKU123,368,9,9,92,236,1190273.92
2024-02-01,SKU124,73,31,6,22,49,169001.57
2024-02-01,SKU125,601,9,12,93,328,2092014.89
2024-02-01,SKU126,498,569,9,125,308,1542913.56
2024-02-01,SKU127,123,269,3,83,136,392474.55
2024-02-01,SKU128,191,375,7,115,265,487200.89
2024-02-01,SKU129,39,80,12,13,49,155105.34
2024-02-01,SKU130,335,637,14,188,579,1473872.7
2024-02-01,SKU131,186,147,11,21,84,1206031.44
2024-02-01,SKU132,345,24,6,62,154,1778512.95
2024-02-01,SKU133,884,821,6,286,520,1607677.76
2024-02-01,SKU134,67,21,13,56,193,463678.19
2024-02-01,SKU135,490,161,9,99,227,483625.1
2024-02-01,SKU136,114,199,14,29,106,103149.48
2024-02-01,SKU137,657,208,4,143,305,5046627.24
2024-02-01,SKU138,66,50,9,26,84,320168.64
2024-02-01,SKU139,616,430,6,131,252,4670333.36
2024-02-01,SKU140,314,140,6,187,362,1514450.26
2024-02-01,SKU141,182,240,8,161,339,287106.82
2024-02-01,SKU142,550,50,8,52,188,2577487.0
2024-02-01,SKU143,397,184,8,82,196,2449652.77
2024-02-01,SKU144,127,65,12,23,76,516152.13
2024-02-01,SKU145,535,651,10,219,604,630197.9
2024-02-01,SKU146,592,282,6,108,213,550406.08
2024-02-01,SKU147,411,226,13,53,240,2569156.89
2024-02-01,SKU148,79,178,12,33,103,224019.51
2024-02-01,SKU149,179,139,8,53,166,420050.35
2024-02-01,SKU150,419,316,11,46,187,1125815.29
2024-02-01,SKU151,282,839,12,275,764,2116407.18
2024-02-01,SKU152,389,345,12,46,202,1252863.97
2024-02-01,SKU153,240,102,10,106,247,1801219.2
2024-02-01,SKU154,29,177,13,24,95,114988.19
2024-02-01,SKU155,103,46,5,33,76,598701.92
2024-02-01,SKU156,227,402,8,81,219,265183.67
2024-02-01,SKU157,74,8,13,17,47,88421.86
2024-02-01,SKU158,332,500,7,168,355,1848327.0
2024-02-01,SKU159,221,18,7,100,280,1468953.85
2024-02-01,SKU160,117,52,4,38,62,445038.75
2024-02-01,SKU161,116,295,10,68,250,854678.72
2024-02-01,SKU162,420,1034,13,160,545,464965.2
2024-02-01,SKU163,290,204,4,82,130,710584.1
2024-02-01,SKU164,156,216,12,54,191,167661.0
2024-02-01,SKU165,308,22,10,59,176,1628848.76
2024-02-01,SKU166,204,50,10,102,255,1469210.04
2024-02-01,SKU167,266,45,13,41,141,361339.72
2024-02-01,SKU168,262,187,6,51,114,467952.96
2024-02-01,SKU169,117,329,14,117,341,62040.42
2024-02-01,SKU170,248,111,4,47,88,161286.8
2024-02-01,SKU171,138,45,5,29,53,289631.64
2024-02-01,SKU172,13,34,5,10,22,9016.15
2024-02-01,SKU173,131,187,3,58,99,816633.04
2024-02-01,SKU174,593,707,13,150,536,3999399.55
2024-02-01,SKU175,542,347,5,115,200,660242.72
2024-02-01,SKU176,38,67,10,26,75,228957.98
2024-02-01,SKU177,85,40,12,50,137,123496.5
2024-02-01,SKU178,189,342,12,83,209,330007.23
2024-02-01,SKU179,735,613,4,254,422,5767243.65
2024-02-01,SKU180,876,563,14,280,869,589004.88
2024-02-01,SKU181,366,805,3,316,439,2599379.58
2024-02-01,SKU182,304,277,7,59,164,483888.96
2024-02-01,SKU183,1928,1483,6,545,1007,15125564.88
2024-02-01,SKU184,109,28,4,47,76,689602.67
2024-02-01,SKU185,175,168,13,52,179,240583.0
2024-02-01,SKU186,282,591,8,162,349,729085.62
2024-02-01,SKU187,545,51,3,56,103,2878450.2
2024-02-01,SKU188,102,222,13,71,297,142840.8
2024-02-01,SKU189,114,26,8,23,74,447428.34
2024-02-01,SKU190,358,475,14,95,273,461544.34
2024-02-01,SKU191,237,86,10,47,127,845201.25
2024-02-01,SKU192,62,81,13,17,66,320439.56
2024-02-01,SKU193,281,6,10,54,141,544190.22
2024-02-01,SKU194,449,274,13,137,362,1215474.43
2024-02-01,SKU195,382,99,5,157,265,1499170.46
2024-02-01,SKU196,31,8,4,5,12,145283.05
2024-02-01,SKU197,130,306,13,48,214,685308.0
2024-02-01,SKU198,285,56,12,74,215,769688.1
2024-02-01,SKU199,245,220,6,65,164,880405.05
2024-02-01,SKU200,167,80,7,32,70,508530.03
2024-03-01,SKU001,502,312,8,270,553,1832957.62
2024-03-01,SKU002,636,367,9,155,350,3596325.6
2024-03-01,SKU003,211,442,11,111,263,1297403.13
2024-03-01,SKU004,156,137,13,124,391,193889.28
2024-03-01,SKU005,638,295,9,130,335,4741890.34
2024-03-01,SKU006,477,136,12,62,266,3160792.8
2024-03-01,SKU007,565,231,11,97,310,2569636.95
2024-03-01,SKU008,537,304,14,177,549,3578643.18
2024-03-01,SKU009,317,104,5,49,105,950232.86
2024-03-01,SKU010,89,106,5,33,54,638280.41
2024-03-01,SKU011,574,255,5,217,355,2219709.66
2024-03-01,SKU012,93,39,5,11,29,134453.82
2024-03-01,SKU013,344,197,4,64,105,2665380.8
2024-03-01,SKU014,336,8,14,133,408,1048676.16
2024-03-01,SKU015,429,85,4,122,198,539205.81
2024-03-01,SKU016,311,97,12,63,217,624659.05
2024-03-01,SKU017,237,170,6,89,168,1588672.62
2024-03-01,SKU018,270,347,13,85,331,721126.8
2024-03-01,SKU019,257,104,6,30,81,836010.72
2024-03-01,SKU020,736,121,3,272,396,4076954.24
2024-03-01,SKU021,146,114,6,25,70,44830.76
2024-03-01,SKU022,109,191,9,42,155,588882.31
2024-03-01,SKU023,151,321,14,59,203,574796.6
2024-03-01,SKU024,436,379,8,66,195,581375.48
2024-03-01,SKU025,585,659,6,137,372,2282085.0
2024-03-01,SKU026,140,20,9,35,98,865023.6
2024-03-01,SKU027,536,487,11,76,313,2456948.96
2024-03-01,SKU028,292,420,8,152,323,142741.28
2024-03-01,SKU029,346,111,14,119,537,1181970.6
2024-03-01,SKU030,115,22,4,48,76,237248.45
2024-03-01,SKU031,159,66,7,27,78,401530.65
2024-03-01,SKU032,429,87,7,47,134,1959243.0
2024-03-01,SKU033,312,346,9,68,179,1060644.0
2024-03-01,SKU034,197,162,14,42,139,304175.88
2024-03-01,SKU035,349,30,4,129,229,2041049.72
2024-03-01,SKU036,428,259,4,80,171,641940.08
2024-03-01,SKU037,414,283,8,188,579,2337642.72
2024-03-01,SKU038,122,61,9,73,184,390755.02
2024-03-01,SKU039,71,87,6,30,66,216837.55
2024-03-01,SKU040,86,155,9,38,97,100151.3
2024-03-01,SKU041,234,279,11,85,293,1327418.82
2024-03-01,SKU042,72,50,10,62,141,558800.64
2024-03-01,SKU043,165,429,9,125,336,615870.75
2024-03-01,SKU044,47,64,3,44,68,46860.41
2024-03-01,SKU045,453,182,3,75,129,823698.96
2024-03-01,SKU046,456,53,9,64,194,2160961.2
2024-03-01,SKU047,56,99,6,38,83,343197.68
2024-03-01,SKU048,70,12,5,25,43,251910.4
2024-03-01,SKU049,813,310,3,216,309,4297770.03
2024-03-01,SKU050,458,35,4,108,186,1590409.58
2024-03-01,SKU051,54,127,10,33,89,151546.68
2024-03-01,SKU052,48,36,5,27,58,50465.76
2024-03-01,SKU053,1315,1625,14,208,879,9756879.2
2024-03-01,SKU054,237,55,9,31,100,696362.88
2024-03-01,SKU055,422,151,12,110,314,3240466.26
2024-03-01,SKU056,19,45,10,13,44,120007.8
2024-03-01,SKU057,362,199,7,55,130,1467178.76
2024-03-01,SKU058,542,571,7,164,344,2537042.38
2024-03-01,SKU059,96,49,8,12,37,270687.36
2024-03-01,SKU060,101,234,13,52,172,368807.56
2024-03-01,SKU061,73,19,10,36,120,525253.25
2024-03-01,SKU062,310,181,4,100,192,1408571.8
2024-03-01,SKU063,105,555,14,120,411,255103.8
2024-03-01,SKU064,482,550,11,147,380,2836189.22
2024-03-01,SKU065,191,378,8,104,233,1403676.19
2024-03-01,SKU066,213,96,7,84,229,115009.35
2024-03-01,SKU067,108,41,13,20,88,721533.96
2024-03-01,SKU068,412,47,9,116,263,1115625.96
2024-03-01,SKU069,374,263,6,194,408,1586392.06
2024-03-01,SKU070,382,101,9,53,191,2866657.88
2024-03-01,SKU071,239,157,4,61,97,865658.0
2024-03-01,SKU072,211,134,10,72,181,1510865.5
2024-03-01,SKU073,756,638,8,124,403,5423702.76
2024-03-01,SKU074,22,17,12,6,17,59365.9
2024-03-01,SKU075,2013,1068,3,351,542,6332596.05
2024-03-01,SKU076,76,59,12,8,38,458859.12
2024-03-01,SKU077,200,138,5,47,103,423504.0
2024-03-01,SKU078,116,29,14,15,89,776169.92
2024-03-01,SKU079,143,587,12,80,327,700016.46
2024-03-01,SKU080,701,467,14,87,413,1242431.37
2024-03-01,SKU081,325,172,8,61,194,2529036.25
2024-03-01,SKU082,288,414,12,96,267,393180.48
2024-03-01,SKU083,16,63,13,13,46,20345.92
2024-03-01,SKU084,108,67,10,78,188,128973.6
2024-03-01,SKU085,133,214,14,86,280,632235.45
2024-03-01,SKU086,99,152,14,31,108,641715.03
2024-03-01,SKU087,179,280,12,117,349,226560.3
2024-03-01,SKU088,458,137,11,122,300,3406883.38
2024-03-01,SKU089,353,178,9,72,173,1424895.09
2024-03-01,SKU090,118,328,8,95,213,903417.44
2024-03-01,SKU091,90,410,12,69,209,39839.4
2024-03-01,SKU092,71,79,9,13,42,366595.01
2024-03-01,SKU093,378,702,12,133,369,1322296.92
2024-03-01,SKU094,11,4,5,5,10,53562.63
2024-03-01,SKU095,145,331,7,94,219,561470.45
2024-03-01,SKU096,46,51,6,27,50,17859.04
2024-03-01,SKU097,112,169,9,91,254,719636.96
2024-03-01,SKU098,651,17,10,74,271,2840612.46
2024-03-01,SKU099,507,124,11,143,346,2496508.56
2024-03-01,SKU100,518,517,11,83,350,1631663.74
2024-03-01,SKU101,333,478,5,100,262,2322025.65
2024-03-01,SKU102,343,235,8,81,171,744570.68
2024-03-01,SKU103,164,548,8,117,311,1078859.24
2024-03-01,SKU104,281,245,10,30,127,215198.23
2024-03-01,SKU105,353,238,7,56,179,2344325.95
2024-03-01,SKU106,839,443,10,80,341,1145243.39
2024-03-01,SKU107,218,108,10,33,109,535534.44
2024-03-01,SKU108,30,14,10,5,16,34351.5
2024-03-01,SKU109,202,49,14,51,163,323900.94
