Date,SKU,Product_Name,Category,Subcategory,Predicted_Demand,Current_Stock,On_Order,Lead_Time_Days,Safety_Stock,Reorder_Point,Lead_Time_Demand,Available_Inventory,Days_of_Inventory,Stock_Coverage_After_Order,Stockout_Gap,Stockout_Risk,Excess_Inventory,Overstock_Risk,Recommended_Stock_Level,Reorder_Quantity,Stock_Status,Action,Priority,Inventory_Health_Score,Health_Level
2025-08-10,SKU008,Product 008,Kitchen,Rug,13.72,325,155,3,91,161,41.160000000000004,480,23.68804664723032,34.98542274052478,-283.84,Low,192.83999999999997,High,132.16,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-10,SKU009,Product 009,Lighting,Organizer,13.76,75,89,7,63,131,96.32,164,5.450581395348837,11.918604651162791,21.319999999999993,High,0.0,Low,159.32,0.0,Reorder Required,Urgent Reorder,Critical,50,At Risk
2025-08-10,SKU010,Product 010,Storage,Sofa,10.54,83,70,13,22,60,137.01999999999998,153,7.874762808349146,14.516129032258066,54.01999999999998,High,0.0,Low,159.01999999999998,6.0,Sufficient Stock,Urgent Reorder,Critical,50,At Risk
2025-08-10,SKU011,Product 011,Furniture,Chair,10.63,753,269,3,179,247,31.89,1022,70.83725305738476,96.14299153339604,-721.11,Low,542.11,High,210.89,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-10,SKU012,Product 012,Home Decor,Table,9.94,47,60,12,16,58,119.28,107,4.728370221327968,10.764587525150906,72.28,High,0.0,Low,135.28,28.0,Reorder Required,Urgent Reorder,Critical,50,At Risk
2025-08-10,SKU013,Product 013,Kitchen,Cushion,10.96,151,95,4,32,61,43.84,246,13.77737226277372,22.44525547445255,-107.16,Low,75.16,Low,75.84,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-10,SKU014,Product 014,Lighting,Cookware,10.29,309,334,10,130,299,102.89999999999999,643,30.02915451895044,62.48785228377066,-206.10000000000002,Low,76.10000000000002,Medium,232.89999999999998,0.0,Sufficient Stock,No Action,Low,85,Healthy
2025-08-10,SKU015,Product 015,Storage,Lamp,13.92,187,245,9,119,265,125.28,432,13.433908045977011,31.03448275862069,-61.72,Medium,0.0,Low,244.28,0.0,Reorder Required,Plan Reorder,High,80,Healthy
2025-08-10,SKU016,Product 016,Furniture,Shelf,14.54,255,187,11,30,129,159.94,442,17.537826685006877,30.398899587345255,-95.06,Low,65.06,Low,189.94,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-10,SKU017,Product 017,Home Decor,Cabinet,10.49,95,26,12,108,274,125.88,121,9.056244041944709,11.534795042897997,30.879999999999995,High,0.0,Low,233.88,113.0,Reorder Required,Urgent Reorder,Critical,50,At Risk
2025-08-10,SKU018,Product 018,Kitchen,Rug,10.23,235,102,8,66,184,81.84,337,22.971652003910066,32.94232649071358,-153.16,Low,87.16,Medium,147.84,0.0,Sufficient Stock,No Action,Low,85,Healthy
2025-08-10,SKU019,Product 019,Lighting,Organizer,10.19,227,114,14,25,126,142.66,341,22.276741903827283,33.46418056918548,-84.34,Low,59.34,Low,167.66,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-10,SKU020,Product 020,Storage,Sofa,11.03,1002,353,3,129,227,33.089999999999996,1355,90.84315503173164,122.84678150498641,-968.91,Low,839.91,High,162.09,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-10,SKU021,Product 021,Furniture,Chair,11.09,88,97,9,36,88,99.81,185,7.935076645626691,16.681695220919746,11.810000000000002,High,0.0,Low,135.81,0.0,Reorder Required,Urgent Reorder,Critical,50,At Risk
2025-08-10,SKU022,Product 022,Home Decor,Table,16.24,95,194,8,76,163,129.92,289,5.849753694581281,17.795566502463057,34.91999999999999,High,0.0,Low,205.92,0.0,Reorder Required,Urgent Reorder,Critical,50,At Risk
2025-08-10,SKU023,Product 023,Kitchen,Cushion,16.1,130,79,12,41,148,193.20000000000002,209,8.074534161490682,12.981366459627328,63.20000000000002,High,0.0,Low,234.20000000000002,25.0,Reorder Required,Urgent Reorder,Critical,50,At Risk
2025-08-10,SKU024,Product 024,Lighting,Cookware,11.03,341,18,14,60,259,154.42,359,30.915684496826838,32.547597461468726,-186.58,Low,126.58000000000001,Medium,214.42,0.0,Sufficient Stock,No Action,Low,85,Healthy
2025-08-10,SKU025,Product 025,Storage,Lamp,11.24,1124,61,14,121,582,157.36,1185,100.0,105.42704626334519,-966.64,Low,845.64,High,278.36,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-10,SKU026,Product 026,Furniture,Shelf,11.36,160,70,5,31,59,56.8,230,14.084507042253522,20.246478873239436,-103.2,Low,72.2,Low,87.8,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-10,SKU027,Product 027,Home Decor,Cabinet,11.41,567,103,3,83,133,34.230000000000004,670,49.693251533742334,58.72042068361087,-532.77,Low,449.77,High,117.23,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-10,SKU028,Product 028,Kitchen,Rug,11.43,174,55,11,114,337,125.72999999999999,229,15.223097112860893,20.034995625546806,-48.27000000000001,Medium,0.0,Low,239.73,11.0,Reorder Required,Plan Reorder,High,80,Healthy
2025-08-10,SKU029,Product 029,Lighting,Organizer,16.1,261,520,5,196,329,80.5,781,16.211180124223603,48.50931677018633,-180.5,Medium,0.0,Low,276.5,0.0,Reorder Required,Plan Reorder,High,80,Healthy
2025-08-10,SKU030,Product 030,Storage,Sofa,17.64,166,32,9,43,104,158.76,198,9.410430839002267,11.224489795918368,-7.240000000000009,Medium,0.0,Low,201.76,4.0,Sufficient Stock,Plan Reorder,High,80,Healthy
2025-08-10,SKU031,Product 031,Furniture,Chair,11.56,93,40,13,28,113,150.28,133,8.044982698961938,11.505190311418685,57.28,High,0.0,Low,178.28,45.0,Reorder Required,Urgent Reorder,Critical,50,At Risk
2025-08-10,SKU032,Product 032,Home Decor,Table,12.06,278,214,11,60,185,132.66,492,23.051409618573796,40.79601990049751,-145.34,Low,85.34,Medium,192.66,0.0,Sufficient Stock,No Action,Low,85,Healthy
2025-08-10,SKU033,Product 033,Kitchen,Cushion,11.55,208,168,12,55,183,138.60000000000002,376,18.008658008658006,32.55411255411255,-69.39999999999998,Low,14.399999999999977,Low,193.60000000000002,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-10,SKU034,Product 034,Lighting,Cookware,11.64,34,103,5,34,58,58.2,137,2.9209621993127146,11.76975945017182,24.200000000000003,High,0.0,Low,92.2,0.0,Reorder Required,Urgent Reorder,Critical,50,At Risk
2025-08-10,SKU035,Product 035,Storage,Lamp,12.03,670,76,8,137,304,96.24,746,55.69409808811305,62.011637572734834,-573.76,Low,436.76,High,233.24,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-10,SKU036,Product 036,Furniture,Shelf,16.77,383,135,3,77,129,50.31,518,22.838401908169352,30.888491353607634,-332.69,Low,255.69,High,127.31,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-10,SKU037,Product 037,Home Decor,Cabinet,17.06,355,687,8,315,644,136.48,1042,20.808909730363425,61.078546307151235,-218.52,Medium,0.0,Low,451.48,0.0,Reorder Required,Plan Reorder,High,80,Healthy
2025-08-10,SKU038,Product 038,Kitchen,Rug,11.7,159,310,12,56,175,140.39999999999998,469,13.589743589743591,40.085470085470085,-18.600000000000023,Medium,0.0,Low,196.39999999999998,0.0,Reorder Required,Plan Reorder,High,80,Healthy
2025-08-10,SKU039,Product 039,Lighting,Organizer,12.72,93,35,3,17,31,38.160000000000004,128,7.311320754716981,10.062893081761006,-54.839999999999996,Low,37.839999999999996,Low,55.160000000000004,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-10,SKU040,Product 040,Storage,Sofa,13.17,67,29,9,36,93,118.53,96,5.087319665907366,7.289293849658314,51.53,High,0.0,Low,154.53,59.0,Reorder Required,Urgent Reorder,Critical,50,At Risk
2025-08-10,SKU041,Product 041,Furniture,Chair,12.77,440,40,4,78,139,51.08,480,34.455755677368835,37.588097102584186,-388.92,Low,310.92,High,129.07999999999998,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-10,SKU042,Product 042,Home Decor,Table,12.67,90,120,6,41,88,76.02,210,7.103393843725335,16.574585635359117,-13.980000000000004,Medium,0.0,Low,117.02,0.0,Sufficient Stock,Plan Reorder,High,80,Healthy
2025-08-10,SKU043,Product 043,Kitchen,Cushion,19.37,559,211,12,142,393,232.44,770,28.859060402684563,39.75219411461022,-326.56,Low,184.56,Medium,374.44,0.0,Sufficient Stock,No Action,Low,85,Healthy
2025-08-10,SKU044,Product 044,Lighting,Cookware,17.51,223,39,5,55,93,87.55000000000001,262,12.735579668760707,14.962878355225584,-135.45,Low,80.44999999999999,Low,142.55,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-10,SKU045,Product 045,Storage,Lamp,14.38,307,142,4,88,142,57.52,449,21.349095966620304,31.223922114047287,-249.48,Low,161.48,Medium,145.52,0.0,Sufficient Stock,No Action,Low,85,Healthy
2025-08-10,SKU046,Product 046,Furniture,Shelf,13.84,119,182,4,46,96,55.36,301,8.598265895953757,21.748554913294797,-63.64,Low,17.64,Low,101.36,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-10,SKU047,Product 047,Home Decor,Cabinet,14.49,201,129,9,44,99,130.41,330,13.871635610766045,22.77432712215321,-70.59,Low,26.590000000000003,Low,174.41,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-10,SKU048,Product 048,Kitchen,Rug,13.97,106,50,3,22,31,41.910000000000004,156,7.587687902648533,11.166785969935576,-64.09,Low,42.09,Low,63.910000000000004,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-10,SKU049,Product 049,Lighting,Organizer,13.99,780,599,5,206,344,69.95,1379,55.75411007862759,98.57040743388134,-710.05,Low,504.04999999999995,High,275.95,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-10,SKU050,Product 050,Storage,Sofa,16.02,328,525,14,69,316,224.28,853,20.474406991260924,53.24594257178527,-103.72,Low,34.72,Low,293.28,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-11,SKU001,Product 001,Furniture,Chair,15.75,771,147,4,159,289,63.0,918,48.95238095238095,58.285714285714285,-708.0,Low,549.0,High,222.0,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-11,SKU002,Product 002,Home Decor,Table,14.65,526,29,3,94,149,43.95,555,35.90443686006826,37.8839590443686,-482.05,Low,388.05,High,137.95,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-11,SKU003,Product 003,Kitchen,Cushion,14.91,349,12,3,88,123,44.730000000000004,361,23.40710932260228,24.21193829644534,-304.27,Low,216.26999999999998,High,132.73000000000002,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-11,SKU004,Product 004,Lighting,Cookware,16.38,259,254,6,98,196,98.28,513,15.811965811965813,31.31868131868132,-160.72,Low,62.72,Low,196.28,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-11,SKU005,Product 005,Storage,Lamp,16.02,471,291,6,129,245,96.12,762,29.400749063670414,47.56554307116105,-374.88,Low,245.88,High,225.12,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-11,SKU006,Product 006,Furniture,Shelf,16.12,359,485,13,129,340,209.56,844,22.27047146401985,52.35732009925558,-149.44,Low,20.439999999999998,Low,338.56,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-11,SKU007,Product 007,Home Decor,Cabinet,17.71,207,460,8,98,237,141.68,667,11.688311688311687,37.66233766233766,-65.32,Medium,0.0,Low,239.68,0.0,Reorder Required,Plan Reorder,High,80,Healthy
2025-08-11,SKU008,Product 008,Kitchen,Rug,17.95,325,155,3,91,161,53.849999999999994,480,18.105849582172702,26.740947075208915,-271.15,Low,180.14999999999998,Medium,144.85,0.0,Sufficient Stock,No Action,Low,85,Healthy
2025-08-11,SKU009,Product 009,Lighting,Organizer,15.37,75,89,7,63,131,107.58999999999999,164,4.879635653871178,10.670136629798309,32.58999999999999,High,0.0,Low,170.58999999999997,7.0,Reorder Required,Urgent Reorder,Critical,50,At Risk
2025-08-11,SKU010,Product 010,Storage,Sofa,14.58,83,70,13,22,60,189.54,153,5.692729766803841,10.493827160493828,106.53999999999999,High,0.0,Low,211.54,59.0,Sufficient Stock,Urgent Reorder,Critical,50,At Risk
2025-08-11,SKU011,Product 011,Furniture,Chair,13.82,753,269,3,179,247,41.46,1022,54.486251808972504,73.9507959479016,-711.54,Low,532.54,High,220.46,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-11,SKU012,Product 012,Home Decor,Table,13.71,47,60,12,16,58,164.52,107,3.4281546316557256,7.804522246535375,117.52000000000001,High,0.0,Low,180.52,74.0,Reorder Required,Urgent Reorder,Critical,50,At Risk
2025-08-11,SKU013,Product 013,Kitchen,Cushion,14.24,151,95,4,32,61,56.96,246,10.603932584269662,17.275280898876403,-94.03999999999999,Low,62.03999999999999,Low,88.96000000000001,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-11,SKU014,Product 014,Lighting,Cookware,16.06,309,334,10,130,299,160.6,643,19.24034869240349,40.0373599003736,-148.4,Low,18.400000000000006,Low,290.6,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-11,SKU015,Product 015,Storage,Lamp,15.95,187,245,9,119,265,143.54999999999998,432,11.724137931034484,27.084639498432605,-43.45000000000002,Medium,0.0,Low,262.54999999999995,0.0,Reorder Required,Plan Reorder,High,80,Healthy
2025-08-11,SKU016,Product 016,Furniture,Shelf,13.51,255,187,11,30,129,148.60999999999999,442,18.874907475943747,32.716506291635824,-106.39000000000001,Low,76.39000000000001,Low,178.60999999999999,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-11,SKU017,Product 017,Home Decor,Cabinet,13.19,95,26,12,108,274,158.28,121,7.202426080363912,9.173616376042457,63.28,High,0.0,Low,266.28,145.0,Reorder Required,Urgent Reorder,Critical,50,At Risk
2025-08-11,SKU018,Product 018,Kitchen,Rug,13.04,235,102,8,66,184,104.32,337,18.02147239263804,25.84355828220859,-130.68,Low,64.68,Low,170.32,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-11,SKU019,Product 019,Lighting,Organizer,13.09,227,114,14,25,126,183.26,341,17.3414820473644,26.050420168067227,-43.74000000000001,Low,18.74000000000001,Low,208.26,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-11,SKU020,Product 020,Storage,Sofa,13.22,1002,353,3,129,227,39.660000000000004,1355,75.79425113464447,102.49621785173979,-962.34,Low,833.34,High,168.66,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-11,SKU021,Product 021,Furniture,Chair,15.53,88,97,9,36,88,139.76999999999998,185,5.666452028332261,11.912427559562138,51.76999999999998,High,0.0,Low,175.76999999999998,0.0,Reorder Required,Urgent Reorder,Critical,50,At Risk
2025-08-11,SKU022,Product 022,Home Decor,Table,16.3,95,194,8,76,163,130.4,289,5.828220858895706,17.73006134969325,35.400000000000006,High,0.0,Low,206.4,0.0,Reorder Required,Urgent Reorder,Critical,50,At Risk
2025-08-11,SKU023,Product 023,Kitchen,Cushion,13.06,130,79,12,41,148,156.72,209,9.95405819295559,16.003062787136294,26.72,High,0.0,Low,197.72,0.0,Reorder Required,Urgent Reorder,Critical,50,At Risk
2025-08-11,SKU024,Product 024,Lighting,Cookware,13.03,341,18,14,60,259,182.42,359,26.1703760552571,27.55180353031466,-158.58,Low,98.58000000000001,Medium,242.42,0.0,Sufficient Stock,No Action,Low,85,Healthy
2025-08-11,SKU025,Product 025,Storage,Lamp,12.28,1124,61,14,121,582,171.92,1185,91.53094462540717,96.49837133550488,-952.08,Low,831.08,High,292.91999999999996,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-11,SKU026,Product 026,Furniture,Shelf,12.86,160,70,5,31,59,64.3,230,12.441679626749611,17.884914463452567,-95.7,Low,64.7,Low,95.3,0.0,Sufficient Stock,No Action,Low,100,Healthy
